ad_id,Campaign,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion
734290,O,108668,30-34,M,29,5374,1,1.039999962,4,0
734313,S,108672,30-34,M,36,790,0,0,1,1
734314,K,108672,30-34,M,36,962,0,0,1,0
734352,M,108678,35-39,M,10,4423,1,1.460000038,1,1
734361,L,108680,35-39,M,16,12382,2,2.839999914,1,1
734381,P,108683,35-39,M,20,2938,1,1.350000024,1,1
734399,H,108686,35-39,M,23,239,0,0,1,0
734418,L,108689,35-39,M,26,591,0,0,1,0
734421,E,108690,35-39,M,27,10332,4,5.75,1,0
734427,S,108691,35-39,M,28,8259,3,3.980000019,1,0
734433,S,108692,35-39,M,29,12158,3,4.449999928,1,0
734582,P,108716,40-44,M,29,7709,2,1.320000052,2,0
734605,C,108720,40-44,M,36,834,0,0,1,0
734660,K,108729,45-49,M,18,1299,0,0,2,0
734666,G,108730,45-49,M,19,371,0,0,1,0
734726,J,108740,45-49,M,29,10466,3,4.090000033,1,0
734737,K,108742,45-49,M,31,839,0,0,1,0
734785,N,108750,30-34,F,10,5576,1,1.529999971,1,1
734794,B,108752,30-34,F,16,4010,0,0,1,0
734796,D,108752,30-34,F,16,39337,7,10.03000009,1,1
734800,S,108753,30-34,F,18,1635,0,0,1,0
734803,L,108753,30-34,F,18,1631,0,0,1,0
734852,P,108761,30-34,F,26,13479,3,4.25,1,0
734854,A,108762,30-34,F,27,57022,13,20.29000032,3,3
734856,R,108762,30-34,F,27,5453,1,1.389999986,1,1
734866,K,108764,30-34,F,29,11803,3,4.440000057,1,0
734881,A,108766,30-34,F,31,4259,1,1.570000052,1,1
734901,C,108770,30-34,F,64,1554,0,0,1,0
734903,H,108770,30-34,F,64,5323,1,1.289999962,1,1
734925,O,108774,35-39,F,10,5024,1,1.409999967,1,1
734939,K,108776,35-39,F,16,104648,24,33.33000004,4,2
734968,M,108781,35-39,F,22,8504,3,3.340000093,1,1
734999,F,108786,35-39,F,27,20277,6,8.050000072,1,0
735014,P,108788,35-39,F,29,12403,4,5.210000038,1,1
735032,L,108791,35-39,F,32,498,0,0,1,1
735033,B,108792,35-39,F,36,652,0,0,0,0
735043,F,108793,35-39,F,63,1357,0,0,1,1
735048,L,108794,35-39,F,64,1393,0,0,1,0
735065,I,108797,40-44,F,7,648,0,0,1,0
735109,F,108804,40-44,F,21,708,0,0,1,1
735140,F,108809,40-44,F,26,6907,2,2.349999964,1,0
735143,F,108810,40-44,F,27,39035,13,19.32999957,1,0
735151,L,108811,40-44,F,28,926,0,0,1,0
735184,I,108817,40-44,F,63,4412,1,1.450000048,1,0
735189,R,108818,40-44,F,64,9965,3,4.050000072,1,0
735213,P,108822,45-49,F,10,73634,23,32.97999978,1,0
735220,D,108823,45-49,F,15,69708,20,31.28999949,1,0
735242,Q,108826,45-49,F,19,530,0,0,1,0
735247,E,108827,45-49,F,20,14257,6,8.789999962,1,0
735289,D,108834,45-49,F,27,20362,5,9.119999886,1,1
735290,M,108834,45-49,F,27,12215,4,6.26000011,1,0
735298,E,108836,45-49,F,29,85412,28,38.63999999,2,1
736869,D,109448,30-34,M,2,2338,1,0.239999995,1,0
736890,C,109451,30-34,M,15,2522,0,0,1,0
736893,G,109452,30-34,M,16,3587,0,0,1,0
736977,R,109470,30-34,M,27,1273,0,0,1,0
736988,G,109472,30-34,M,28,3891,1,1.090000033,1,0
736995,C,109473,30-34,M,29,1888,0,0,1,0
736997,D,109473,30-34,M,29,1895,0,0,1,0
737097,J,109498,35-39,M,7,715,0,0,1,0
737130,A,109507,35-39,M,16,11199,2,2.680000067,1,0
737320,K,109553,35-39,M,63,5676,2,3.00999999,1,0
737375,M,109565,40-44,M,10,1415,0,0,1,0
737524,L,109601,40-44,M,30,2148,1,1.580000043,1,1
737644,L,109629,45-49,M,16,45401,10,14.06000042,1,0
737657,F,109633,45-49,M,18,7478,2,2.900000095,1,1
737658,S,109633,45-49,M,18,4919,1,1.590000033,1,0
737674,S,109637,45-49,M,20,533,0,0,1,1
737766,M,109659,45-49,M,29,1447,0,0,1,1
737896,Q,109689,30-34,F,16,17553,3,4.590000153,1,0
737931,D,109698,30-34,F,20,3343,1,0.540000021,1,0
737961,N,109706,30-34,F,23,523,0,0,1,0
737995,S,109714,30-34,F,26,1873,0,0,1,0
738006,N,109717,30-34,F,27,34740,7,13.41000009,1,1
738067,F,109731,30-34,F,32,658,0,0,1,0
738098,F,109738,30-34,F,64,1539,0,0,1,0
738307,E,109788,35-39,F,31,3010,1,0.860000014,1,1
738389,G,109808,40-44,F,10,27081,9,10.77000046,1,1
738408,O,109813,40-44,F,16,20233,4,5.590000153,3,0
738413,F,109813,40-44,F,16,147159,36,58.16000044,3,1
738423,C,109816,40-44,F,18,21664,7,10.61999977,1,1
738436,F,109820,40-44,F,19,9112,4,5.460000038,1,1
738463,E,109826,40-44,F,21,542,0,0,1,0
738528,B,109839,40-44,F,30,402,0,0,1,1
738560,B,109844,40-44,F,64,1338,0,0,1,0
738582,C,109848,45-49,F,10,46150,15,20.17999983,1,1
738592,M,109850,45-49,F,16,493821,116,176.3799977,4,1
738593,O,109850,45-49,F,16,92011,27,34.39000046,2,1
738598,J,109851,45-49,F,18,12956,4,5.49000001,1,1
738606,O,109852,45-49,F,19,529,0,0,1,0
738637,I,109857,45-49,F,24,944,1,1.419999957,1,0
738648,K,109859,45-49,F,26,111090,38,51.97000027,5,1
747212,N,110836,30-34,M,10,7208,2,3.190000057,1,0
747213,K,110836,30-34,M,10,1746,0,0,1,0
747220,J,110837,30-34,M,15,2474,0,0,2,2
747222,S,110838,30-34,M,16,12489,2,1.960000038,1,0
747223,C,110838,30-34,M,16,8032,1,0.600000024,2,0
747248,N,110842,30-34,M,21,472,0,0,1,1
747332,N,110856,30-34,M,64,792,0,0,1,1
747362,P,110861,35-39,M,15,4607,1,1.149999976,1,1
747369,H,110862,35-39,M,16,13355,2,3.180000067,1,1
747370,B,110862,35-39,M,16,2936,0,0,1,0
747401,G,110867,35-39,M,22,2793,1,0.980000019,1,1
747435,D,110873,35-39,M,28,1032,0,0,1,0
747439,H,110874,35-39,M,29,1662,0,0,1,1
747489,K,110882,40-44,M,2,4016,2,1.480000049,1,1
747514,E,110886,40-44,M,16,14843,3,2.939999938,1,1
747645,K,110908,45-49,M,10,9674,3,4.600000024,1,1
747659,G,110910,45-49,M,16,12186,2,2.669999957,1,0
747675,R,110913,45-49,M,20,673,0,0,1,0
747678,P,110914,45-49,M,21,370,0,0,1,1
747712,H,110919,45-49,M,26,450,0,0,1,1
747790,S,110932,30-34,F,10,2077,0,0,1,1
747791,F,110932,30-34,F,10,31393,8,10.96000051,1,1
747795,R,110933,30-34,F,15,8410,2,2.359999895,1,1
747798,C,110934,30-34,F,16,25884,5,7.350000143,1,0
747824,O,110938,30-34,F,21,608,0,0,1,1
747828,G,110939,30-34,F,22,28488,10,9.340000033,1,0
747852,C,110943,30-34,F,26,10126,3,4.619999886,1,0
747859,M,110944,30-34,F,27,22572,5,8.5,1,0
747863,D,110944,30-34,F,27,1955,0,0,1,1
747879,L,110947,30-34,F,30,493,0,0,1,0
747903,C,110951,30-34,F,63,1491,0,0,1,1
747911,K,110952,30-34,F,64,1495,0,0,1,1
747968,N,110962,35-39,F,21,512,0,0,0,0
747991,P,110966,35-39,F,25,4868,2,2.420000076,1,0
748000,L,110967,35-39,F,26,6585,2,2.950000048,1,0
748007,O,110968,35-39,F,27,10164,2,3.720000029,1,1
748014,I,110970,35-39,F,29,11182,4,4.449999809,1,0
748045,E,110975,35-39,F,63,1238,0,0,1,0
748086,G,110982,40-44,F,16,34127,8,13.07000017,1,0
748087,K,110982,40-44,F,16,29466,7,10.84999967,2,0
748089,Q,110982,40-44,F,16,38759,9,10.84999967,1,0
748091,O,110982,40-44,F,16,41720,10,12.06000006,1,1
748225,K,111005,45-49,F,15,18602,5,8.860000134,1,0
748230,P,111006,45-49,F,16,83929,21,27.72999954,4,1
748231,E,111006,45-49,F,16,25194,6,7.349999905,1,0
748233,P,111006,45-49,F,16,78627,19,26.53000045,1,0
748235,I,111006,45-49,F,16,102695,25,39.42999983,3,0
748294,G,111016,45-49,F,27,82827,24,47.93000031,3,0
748295,B,111016,45-49,F,27,9240,3,6.039999962,1,0
748303,P,111018,45-49,F,29,7706,2,2.369999886,1,0
748314,R,111020,45-49,F,31,7821,4,6.340000153,1,1
748341,G,111024,45-49,F,64,1363,0,0,1,1
776318,J,115484,45-49,F,15,3569,0,0,1,1
776322,P,115485,45-49,F,16,119063,34,53.21999949,1,0
776323,A,115485,45-49,F,16,99078,23,35.79999948,2,0
776325,H,115485,45-49,F,16,452398,114,180.2200012,1,0
776334,O,115487,45-49,F,10,191223,48,76.41000056,1,0
776336,H,115487,45-49,F,10,22216,6,9.549999952,1,0
776338,I,115487,45-49,F,10,48291,11,18.01999998,1,0
776353,C,115490,40-44,F,63,27559,8,13.37,1,0
776373,K,115493,45-49,F,25,10194,4,4.590000033,2,1
776383,M,115495,45-49,F,23,1168,0,0,1,1
776405,O,115498,45-49,F,21,40126,16,25.86000001,1,0
776416,J,115500,45-49,F,19,3659,1,0.49000001,1,1
776430,S,115503,30-34,M,10,3200,0,0,1,0
776464,R,115508,45-49,F,29,7550,1,1.679999948,1,1
776469,P,115509,45-49,F,28,45397,15,25.41999936,1,1
776473,C,115510,30-34,M,16,23086,2,3.310000062,1,1
776475,G,115510,30-34,M,16,16425,1,1.549999952,1,0
776476,J,115510,30-34,M,16,43756,5,5.439999938,0,0
776477,H,115510,30-34,M,16,9982,0,0,1,0
776489,F,115512,45-49,F,26,175389,55,81.60999787,1,0
776494,G,115513,30-34,M,15,7015,0,0,1,0
776515,B,115517,45-49,F,65,12706,3,4.98999989,1,1
776519,P,115517,45-49,F,65,70702,20,31.7099998,1,0
776533,E,115520,45-49,F,63,63927,16,25.52000046,2,0
776534,L,115520,45-49,F,63,15105,3,4.25999999,1,0
776538,N,115521,30-34,F,15,8774,1,1.830000043,1,0
776551,R,115523,30-34,F,16,14459,1,1.389999986,1,0
776552,O,115523,30-34,F,16,21596,2,2.809999943,1,0
776553,E,115523,30-34,F,16,66765,8,11.04999971,1,0
776563,P,115525,30-34,F,7,1369,0,0,1,1
776579,A,115527,30-34,F,10,26910,5,7.229999781,1,0
776603,I,115531,30-34,F,2,506,0,0,1,0
776615,O,115533,45-49,M,63,11988,3,4.269999862,1,0
776623,I,115535,45-49,M,64,19353,6,9.4799999,1,1
776631,C,115536,40-44,M,29,10960,2,2.890000105,1,0
776643,C,115538,30-34,M,15,33491,6,10.56999969,2,1
776644,J,115538,30-34,M,15,20083,2,3.200000048,2,1
776659,L,115541,30-34,M,16,8817,0,0,1,1
776661,O,115541,30-34,M,16,15466,1,0.970000029,1,0
776662,A,115541,30-34,M,16,27072,3,4.370000005,1,0
776663,A,115541,30-34,M,16,15753,1,0.569999993,1,1
776668,C,115542,40-44,M,19,3523,1,1.809999943,1,1
776685,R,115545,40-44,M,16,7745,0,0,1,0
776686,F,115545,40-44,M,16,18709,2,3.319999933,1,0
776687,O,115545,40-44,M,16,8022,0,0,2,1
776696,J,115547,30-34,M,10,7966,1,1.179999948,1,1
776697,Q,115547,30-34,M,10,4132,0,0,1,1
776698,K,115547,30-34,M,10,12785,3,4.730000019,2,1
776699,R,115547,30-34,M,10,8213,1,1.379999995,1,1
776722,C,115551,30-34,M,2,545,0,0,1,1
776725,B,115552,40-44,M,23,2479,1,1.25999999,1,0
776780,R,115561,40-44,M,2,3812,2,3.049999952,1,0
776793,C,115563,45-49,M,21,1609,0,0,1,0
776799,M,115564,45-49,M,20,10257,3,3.579999924,1,1
776817,R,115567,40-44,M,10,12356,4,6.279999971,1,0
776825,E,115568,45-49,M,18,7410,1,1.210000038,1,0
776829,L,115569,45-49,M,16,140098,28,46.63000011,1,0
776831,F,115569,45-49,M,16,107021,20,34.44000012,1,0
776840,I,115571,35-39,M,36,2797,1,1.289999962,1,0
776861,B,115574,45-49,M,7,16461,6,9.21999979,1,0
776892,K,115580,40-44,M,63,17488,5,7.719999909,1,0
776928,P,115586,35-39,M,10,9750,2,1.5,1,1
776935,E,115587,45-49,M,36,1136,0,0,1,1
777105,L,115615,45-49,M,63,4333,1,0.180000007,1,1
777130,O,115619,35-39,M,16,6260,0,0,1,0
777131,J,115619,35-39,M,16,6359,0,0,1,0
777166,R,115625,30-34,M,63,2383,0,0,1,1
777187,C,115629,40-44,M,27,11292,3,5.389999866,1,1
777198,R,115631,30-34,M,64,12729,4,5.779999852,1,0
777200,K,115631,30-34,M,64,1898,0,0,1,1
777201,E,115631,30-34,M,64,1882,0,0,1,1
777235,N,115637,30-34,M,65,2883,1,0.99000001,1,1
777248,G,115639,30-34,F,7,3989,1,1.279999971,1,0
777261,B,115641,40-44,M,29,19603,4,5.279999971,1,1
777382,G,115675,40-44,M,24,3047,1,1.379999995,1,0
777398,H,115677,35-39,M,24,3029,1,1.049999952,1,1
777410,C,115679,45-49,M,26,3490,1,1.340000033,1,1
777482,L,115691,45-49,M,28,2479,0,0,1,0
777495,B,115693,40-44,M,19,19581,7,10.42999983,2,0
777519,N,115697,45-49,M,29,19537,5,6.099999905,1,0
777625,M,115715,45-49,M,16,59433,12,19.65999949,3,0
777627,K,115715,45-49,M,16,157534,33,56.19000077,2,0
777638,A,115717,40-44,M,7,1781,0,0,1,1
777670,O,115723,40-44,M,16,23769,4,6.029999852,1,0
777673,F,115723,40-44,M,16,7101,0,0,1,0
777742,D,115735,35-39,M,64,4726,1,1.830000043,1,1
777758,I,115737,30-34,M,19,5209,1,0.959999979,2,0
777794,B,115743,30-34,M,18,13473,3,2.619999945,3,0
777816,M,115747,40-44,M,2,500,0,0,1,1
777871,I,115756,30-34,M,20,4616,1,1.360000014,1,0
777904,D,115762,30-34,M,31,3279,0,0,1,0
777905,J,115762,30-34,M,31,3288,0,0,1,0
778037,M,115784,35-39,M,27,14615,4,6.050000191,1,0
778048,A,115786,30-34,M,27,56615,12,19.88000035,2,0
778085,K,115792,30-34,M,26,11735,3,4.529999971,1,1
778087,J,115792,30-34,M,26,15910,5,6.779999852,1,0
778112,Q,115796,35-39,M,29,11446,2,3.090000033,1,1
778113,B,115796,35-39,M,29,4595,0,0,1,0
778124,J,115798,30-34,M,29,4871,0,0,1,0
778148,B,115802,35-39,M,28,3199,0,0,1,0
778156,P,115804,30-34,M,28,9388,2,3.140000105,1,0
778161,J,115804,30-34,M,28,17954,6,7.5400002,2,1
778208,H,115812,40-44,F,29,2755,0,0,1,0
778264,J,115822,40-44,F,27,8152,1,0.99000001,1,0
778266,G,115822,40-44,F,27,74542,19,34.1500001,1,0
778421,Q,115848,40-44,F,20,6699,2,3.090000033,1,0
778422,B,115848,40-44,F,20,11911,4,3.959999919,1,0
778461,P,115854,40-44,M,29,10090,2,2.650000095,1,1
778471,C,115856,30-34,M,32,1273,0,0,1,1
778483,I,115858,40-44,F,18,24188,5,8.179999828,1,0
778529,Q,115866,30-34,M,31,2214,0,0,1,0
778556,Q,115870,40-44,M,32,9735,4,4.130000114,1,1
778590,M,115876,30-34,M,30,1371,0,0,1,1
778600,A,115878,40-44,F,22,10750,4,5.389999866,1,0
778626,R,115882,30-34,M,29,7629,1,0.720000029,1,1
778628,I,115882,30-34,M,29,4608,0,0,1,0
778674,M,115890,35-39,M,29,3732,0,0,1,0
778689,H,115892,30-34,M,28,7453,1,1.679999948,1,1
778722,G,115898,35-39,F,64,41785,14,19.10000038,1,0
778737,N,115900,35-39,M,27,8077,2,3.579999924,1,1
778756,R,115904,35-39,F,63,5602,1,1.580000043,1,0
778804,J,115912,30-34,M,26,6184,2,2.75,1,1
778808,C,115912,30-34,M,26,1738,0,0,1,0
778964,H,115938,35-39,F,27,112460,25,41.29000068,1,0
779057,A,115954,40-44,M,15,4414,0,0,1,0
779106,G,115962,35-39,F,30,14670,7,9.410000324,1,0
779438,K,116031,30-34,F,64,33144,9,13.40999985,1,0
779453,D,116033,45-49,M,64,4397,1,0.949999988,1,0
779488,Q,116039,45-49,M,65,1006,0,0,1,0
779573,I,116053,35-39,F,10,89527,24,32.28999996,1,0
779608,M,116059,35-39,F,15,2459,0,0,1,0
779609,K,116059,35-39,F,15,7116,2,1.730000019,1,1
779622,H,116061,30-34,F,15,8613,1,0.889999986,2,0
779631,H,116063,35-39,F,16,9730,1,1.379999995,1,0
779644,C,116065,30-34,F,16,51816,8,10.2299999,2,1
779645,N,116065,30-34,F,16,27289,3,4.429999828,1,0
779715,R,116077,30-34,F,29,20409,4,3.829999924,1,0
779716,G,116077,30-34,F,29,8044,1,1.110000014,1,0
779738,C,116081,30-34,F,28,15645,4,5.349999905,1,0
779778,F,116087,30-34,F,31,2466,0,0,2,2
779789,C,116089,45-49,M,10,11611,3,3.950000048,1,1
779824,F,116095,45-49,M,7,9375,3,4.019999981,1,0
779871,I,116103,30-34,F,32,4402,1,1.330000043,1,1
779918,D,116111,30-34,F,18,8469,2,3.089999914,1,0
779922,Q,116111,30-34,F,18,5823,1,1.419999957,1,1
779944,S,116115,35-39,M,10,2549,0,0,1,0
779979,L,116121,35-39,M,16,25817,4,6.019999981,1,0
779995,F,116123,30-34,F,20,1961,0,0,1,0
780064,D,116135,30-34,F,22,2554,0,0,1,0
780104,C,116147,30-34,F,25,4971,1,1.230000019,1,1
780199,D,116163,35-39,F,23,1030,0,0,1,1
780318,I,116183,45-49,F,29,162341,56,77.07999969,3,0
780323,A,116183,45-49,F,29,24542,7,9.329999924,1,0
780486,A,116216,30-34,F,65,2879,0,0,1,1
780498,J,116218,30-34,F,64,13621,3,4.090000033,1,0
780511,D,116220,30-34,F,63,6175,1,1.370000005,2,1
780629,B,116240,30-34,F,28,2963,0,0,1,0
780653,A,116244,30-34,F,29,9076,1,1.379999995,1,1
780655,C,116244,30-34,F,29,20941,4,5.909999967,1,1
780666,S,116246,45-49,F,10,3462,0,0,1,0
780681,S,116248,30-34,F,26,4073,0,0,1,1
780700,E,116252,30-34,F,27,3745,0,0,1,0
780748,N,116265,30-34,F,24,830,0,0,1,0
780759,R,116267,45-49,F,18,2912,0,0,1,0
780760,I,116267,45-49,F,18,17167,5,6.910000086,1,0
780797,B,116273,30-34,F,22,24491,7,9.539999962,1,0
780799,G,116273,30-34,F,22,44699,13,17.30000037,2,0
780821,F,116277,30-34,F,23,6469,2,1.309999943,1,0
780830,H,116279,45-49,F,16,16053,3,4.079999924,1,1
780835,J,116279,45-49,F,16,54724,12,17.92999995,1,1
780867,D,116285,30-34,F,21,4706,1,1.220000029,1,0
780974,D,116303,40-44,F,32,8316,3,4.569999933,1,1
781066,E,116323,40-44,F,22,5794,2,2.269999981,1,0
781114,D,116331,40-44,F,18,4813,1,1.029999971,1,0
781159,B,116339,40-44,F,10,85285,26,36.13000035,1,0
781162,A,116339,40-44,F,10,5839,1,1.370000005,1,0
781175,I,116341,40-44,F,15,5859,1,1.539999962,1,0
781187,I,116343,40-44,F,16,164118,41,59.06999993,1,0
781195,J,116345,35-39,F,63,18234,6,7.810000062,1,0
781207,F,116347,35-39,F,64,2755,0,0,1,0
781303,Q,116363,35-39,F,27,73676,20,28.5,1,0
781305,B,116363,35-39,F,27,18421,7,10.07999992,1,0
781327,H,116367,35-39,F,29,164754,49,67.97999978,2,1
781353,G,116371,35-39,F,10,7449,1,1.639999986,1,1
781354,S,116371,35-39,F,10,6424,1,0.529999971,1,0
781438,C,116385,30-34,M,63,2086,0,0,1,0
781470,D,116391,35-39,M,16,6016,0,0,1,0
781499,B,116395,35-39,M,15,6412,1,1.370000005,1,0
781508,C,116397,30-34,F,63,5040,1,1.440000057,1,0
781556,Q,116405,30-34,F,32,1772,0,0,1,0
781559,I,116405,30-34,F,32,1783,0,0,1,0
781606,G,116413,35-39,M,20,8200,3,3.919999957,1,0
781690,N,116427,45-49,F,26,115896,38,49.44000006,1,0
781811,K,116447,35-39,F,16,10186,1,1.230000019,1,1
781857,I,116455,30-34,M,20,9134,3,4.180000067,2,0
781858,A,116455,30-34,M,20,3385,1,1.440000057,1,1
781907,S,116463,45-49,F,21,1314,0,0,1,0
781928,D,116467,30-34,M,18,2916,0,0,1,1
781929,R,116467,30-34,M,18,6142,1,1.330000043,1,0
781950,R,116471,30-34,F,20,1984,0,0,1,0
781999,O,116479,30-34,M,24,9142,3,3.749999881,1,0
782001,O,116479,30-34,M,24,5475,2,2.730000019,1,1
782022,N,116483,30-34,F,18,8254,2,2.320000052,1,1
782026,Q,116483,30-34,F,18,5704,1,1.320000052,1,0
782130,C,116501,30-34,F,16,7301,0,0,1,0
782134,L,116501,30-34,F,16,37873,5,6.169999957,1,1
782135,F,116501,30-34,F,16,25267,4,4.940000057,2,1
782171,F,116507,30-34,F,30,535,0,0,1,0
782180,G,116509,30-34,M,29,3396,0,0,1,0
782219,G,116515,30-34,M,26,977,0,0,1,0
782228,D,116517,40-44,F,63,12318,5,6.340000153,1,1
782242,G,116519,30-34,F,28,4783,1,0.860000014,1,0
782275,A,116525,30-34,F,29,6475,1,1.350000024,1,0
782337,F,116535,45-49,F,16,104578,29,39.25000095,1,1
782407,B,116547,45-49,F,10,33664,11,12.51000035,1,0
782443,F,116553,40-44,F,20,979,0,0,1,0
782541,S,116569,40-44,F,28,7337,3,4.079999924,1,0
782587,J,116577,30-34,M,10,2499,0,0,1,0
782647,B,116587,40-44,F,27,11244,3,4.550000191,1,0
782658,O,116589,30-34,M,15,4827,0,0,1,0
782694,Q,116595,35-39,F,29,29035,7,8.910000086,2,2
782706,R,116597,35-39,F,30,761,0,0,1,0
782754,A,116605,35-39,F,26,6532,1,1.610000014,1,0
782815,L,116615,40-44,F,10,11537,3,4.300000191,1,0
782816,H,116615,40-44,F,10,12183,3,2.869999945,1,0
782862,F,116623,35-39,F,64,5912,1,1.559999943,1,1
950068,K,123438,30-34,M,10,4012,1,1.570000052,1,0
950078,S,123440,30-34,M,16,12396,2,3.210000038,2,1
950079,O,123440,30-34,M,16,3142,0,0,2,2
950099,H,123443,30-34,M,18,1120,0,0,1,0
950109,K,123445,30-34,M,20,343,0,0,1,1
950170,I,123455,30-34,M,15,1720,0,0,1,1
950179,J,123457,30-34,M,16,3423,0,0,1,1
950182,N,123457,30-34,M,16,3242,0,0,1,0
950183,J,123457,30-34,M,16,15720,1,1.379999995,1,0
950200,J,123460,30-34,M,10,1217,0,0,1,1
950224,D,123464,40-44,M,20,2367,2,2.839999914,1,1
950326,R,123481,35-39,M,16,6607,1,1.320000052,2,0
950345,K,123484,30-34,M,64,616,0,0,1,0
950452,M,123502,45-49,M,16,5537,1,1.519999981,1,0
950463,G,123504,45-49,M,15,818,0,0,1,0
950495,N,123509,45-49,M,21,1909,1,0.980000019,1,0
950521,E,123514,30-34,M,21,351,0,0,1,0
950531,D,123515,45-49,M,22,572,0,0,1,0
950537,O,123516,40-44,M,36,1884,1,1.409999967,1,0
950550,L,123519,30-34,M,30,219,0,0,1,0
950577,E,123523,30-34,M,32,540,0,0,1,1
950578,I,123523,30-34,M,32,550,0,0,1,0
950595,N,123526,30-34,M,26,465,0,0,1,0
950609,E,123528,30-34,M,29,1761,0,0,1,1
950629,G,123532,30-34,M,65,152,0,0,1,1
950631,R,123532,30-34,M,65,152,0,0,1,1
950649,R,123535,30-34,M,64,429,0,0,1,0
950745,K,123551,30-34,M,29,1514,0,0,2,2
950770,J,123555,30-34,M,28,7780,3,4.329999924,2,2
950772,Q,123556,35-39,M,28,460,0,0,1,0
950773,Q,123556,35-39,M,28,471,0,0,1,0
950776,L,123556,35-39,M,28,2633,1,1.070000052,1,0
950787,H,123558,30-34,M,27,199,0,0,1,0
950808,D,123562,35-39,M,32,398,0,0,1,0
950839,M,123567,30-34,M,24,246,0,0,2,2
950878,R,123573,40-44,M,10,2967,1,1.5,1,1
950969,J,123588,45-49,M,36,255,0,0,1,0
951021,S,123597,30-34,F,7,457,0,0,1,1
951033,Q,123599,30-34,F,10,5517,1,1.230000019,1,0
951035,N,123599,30-34,F,10,1539,0,0,1,1
951043,Q,123601,30-34,F,16,3189,0,0,1,0
951045,Q,123601,30-34,F,16,3348,0,0,1,0
