Campaign,age,gender,interest,Impressions,Clicks,Spent,Approved_Conversion,Product
E,30,0,18,1473,0,0,0,AA Batteries (4-pack)
P,30,0,27,1186,0,0,0,Vareebadd Phone
M,30,0,15,5369,1,1.50999999,0,Flatscreen TV
G,30,0,29,22221,7,9.430000067,1,Wired Headphones
M,30,0,63,1185,0,0,0,Flatscreen TV
D,30,0,65,13019,5,6.960000038,0,USB-C Charging Cable
K,35,0,25,2508,1,1.220000029,0,34in Ultrawide Monitor
Q,35,0,27,5864,2,2.799999952,1,LG Washing Machine
S,35,0,20,2783,1,1.600000024,0,Lightning Charging Cable
F,40,0,15,3812,1,1.129999995,1,AAA Batteries (4-pack)
R,45,0,10,11199,4,5.730000019,1,LG Dryer
H,45,0,19,292,0,0,0,Bose SoundSport Headphones
R,45,0,63,17572,7,9.379999995,0,LG Dryer
A,45,0,10,1448,0,0,1,iPhone
B,30,1,10,1772,0,0,1,Macbook Pro Laptop
H,30,1,10,13329,4,5.629999995,1,Bose SoundSport Headphones
C,30,1,15,13659,3,3.840000033,0,Apple Airpods Headphones
C,30,1,21,739,0,0,1,Apple Airpods Headphones
A,30,1,25,605,0,0,0,iPhone
D,30,1,26,1030,0,0,0,USB-C Charging Cable
O,30,1,29,5374,1,1.039999962,0,20in Monitor
S,30,1,36,790,0,0,1,Lightning Charging Cable
K,30,1,36,962,0,0,0,34in Ultrawide Monitor
M,35,1,10,4423,1,1.460000038,1,Flatscreen TV
L,35,1,16,12382,2,2.839999914,1,Google Phone
P,35,1,20,2938,1,1.350000024,1,Vareebadd Phone
H,35,1,23,239,0,0,0,Bose SoundSport Headphones
L,35,1,26,591,0,0,0,Google Phone
E,35,1,27,10332,4,5.75,0,AA Batteries (4-pack)
S,35,1,28,8259,3,3.980000019,0,Lightning Charging Cable
S,35,1,29,12158,3,4.449999928,0,Lightning Charging Cable
P,40,1,29,7709,2,1.320000052,0,Vareebadd Phone
C,40,1,36,834,0,0,0,Apple Airpods Headphones
K,45,1,18,1299,0,0,0,34in Ultrawide Monitor
G,45,1,19,371,0,0,0,Wired Headphones
J,45,1,29,10466,3,4.090000033,0,27in 4K Gaming Monitor
K,45,1,31,839,0,0,0,34in Ultrawide Monitor
N,30,0,10,5576,1,1.529999971,1,ThinkPad Laptop
B,30,0,16,4010,0,0,0,Macbook Pro Laptop
D,30,0,16,39337,7,10.03000009,1,USB-C Charging Cable
S,30,0,18,1635,0,0,0,Lightning Charging Cable
L,30,0,18,1631,0,0,0,Google Phone
P,30,0,26,13479,3,4.25,0,Vareebadd Phone
A,30,0,27,57022,13,20.29000032,3,iPhone
R,30,0,27,5453,1,1.389999986,1,LG Dryer
K,30,0,29,11803,3,4.440000057,0,34in Ultrawide Monitor
A,30,0,31,4259,1,1.570000052,1,iPhone
C,30,0,64,1554,0,0,0,Apple Airpods Headphones
H,30,0,64,5323,1,1.289999962,1,Bose SoundSport Headphones
O,35,0,10,5024,1,1.409999967,1,20in Monitor
K,35,0,16,104648,24,33.33000004,2,34in Ultrawide Monitor
M,35,0,22,8504,3,3.340000093,1,Flatscreen TV
F,35,0,27,20277,6,8.050000072,0,AAA Batteries (4-pack)
P,35,0,29,12403,4,5.210000038,1,Vareebadd Phone
L,35,0,32,498,0,0,1,Google Phone
B,35,0,36,652,0,0,0,Macbook Pro Laptop
F,35,0,63,1357,0,0,1,AAA Batteries (4-pack)
L,35,0,64,1393,0,0,0,Google Phone
I,40,0,7,648,0,0,0,27in FHD Monitor
F,40,0,21,708,0,0,1,AAA Batteries (4-pack)
F,40,0,26,6907,2,2.349999964,0,AAA Batteries (4-pack)
F,40,0,27,39035,13,19.32999957,0,AAA Batteries (4-pack)
L,40,0,28,926,0,0,0,Google Phone
I,40,0,63,4412,1,1.450000048,0,27in FHD Monitor
R,40,0,64,9965,3,4.050000072,0,LG Dryer
P,45,0,10,73634,23,32.97999978,0,Vareebadd Phone
D,45,0,15,69708,20,31.28999949,0,USB-C Charging Cable
Q,45,0,19,530,0,0,0,LG Washing Machine
E,45,0,20,14257,6,8.789999962,0,AA Batteries (4-pack)
D,45,0,27,20362,5,9.119999886,1,USB-C Charging Cable
M,45,0,27,12215,4,6.26000011,0,Flatscreen TV
E,45,0,29,85412,28,38.63999999,1,AA Batteries (4-pack)
D,30,1,2,2338,1,0.239999995,0,USB-C Charging Cable
C,30,1,15,2522,0,0,0,Apple Airpods Headphones
G,30,1,16,3587,0,0,0,Wired Headphones
R,30,1,27,1273,0,0,0,LG Dryer
G,30,1,28,3891,1,1.090000033,0,Wired Headphones
C,30,1,29,1888,0,0,0,Apple Airpods Headphones
D,30,1,29,1895,0,0,0,USB-C Charging Cable
J,35,1,7,715,0,0,0,27in 4K Gaming Monitor
A,35,1,16,11199,2,2.680000067,0,iPhone
K,35,1,63,5676,2,3.00999999,0,34in Ultrawide Monitor
M,40,1,10,1415,0,0,0,Flatscreen TV
L,40,1,30,2148,1,1.580000043,1,Google Phone
L,45,1,16,45401,10,14.06000042,0,Google Phone
F,45,1,18,7478,2,2.900000095,1,AAA Batteries (4-pack)
S,45,1,18,4919,1,1.590000033,0,Lightning Charging Cable
S,45,1,20,533,0,0,1,Lightning Charging Cable
M,45,1,29,1447,0,0,1,Flatscreen TV
Q,30,0,16,17553,3,4.590000153,0,LG Washing Machine
D,30,0,20,3343,1,0.540000021,0,USB-C Charging Cable
N,30,0,23,523,0,0,0,ThinkPad Laptop
S,30,0,26,1873,0,0,0,Lightning Charging Cable
N,30,0,27,34740,7,13.41000009,1,ThinkPad Laptop
F,30,0,32,658,0,0,0,AAA Batteries (4-pack)
F,30,0,64,1539,0,0,0,AAA Batteries (4-pack)
E,35,0,31,3010,1,0.860000014,1,AA Batteries (4-pack)
G,40,0,10,27081,9,10.77000046,1,Wired Headphones
O,40,0,16,20233,4,5.590000153,0,20in Monitor
F,40,0,16,147159,36,58.16000044,1,AAA Batteries (4-pack)
C,40,0,18,21664,7,10.61999977,1,Apple Airpods Headphones
F,40,0,19,9112,4,5.460000038,1,AAA Batteries (4-pack)
E,40,0,21,542,0,0,0,AA Batteries (4-pack)
B,40,0,30,402,0,0,1,Macbook Pro Laptop
B,40,0,64,1338,0,0,0,Macbook Pro Laptop
C,45,0,10,46150,15,20.17999983,1,Apple Airpods Headphones
M,45,0,16,493821,116,176.3799977,1,Flatscreen TV
O,45,0,16,92011,27,34.39000046,1,20in Monitor
J,45,0,18,12956,4,5.49000001,1,27in 4K Gaming Monitor
O,45,0,19,529,0,0,0,20in Monitor
I,45,0,24,944,1,1.419999957,0,27in FHD Monitor
K,45,0,26,111090,38,51.97000027,1,34in Ultrawide Monitor
N,30,1,10,7208,2,3.190000057,0,ThinkPad Laptop
K,30,1,10,1746,0,0,0,34in Ultrawide Monitor
J,30,1,15,2474,0,0,2,27in 4K Gaming Monitor
S,30,1,16,12489,2,1.960000038,0,Lightning Charging Cable
C,30,1,16,8032,1,0.600000024,0,Apple Airpods Headphones
N,30,1,21,472,0,0,1,ThinkPad Laptop
N,30,1,64,792,0,0,1,ThinkPad Laptop
P,35,1,15,4607,1,1.149999976,1,Vareebadd Phone
H,35,1,16,13355,2,3.180000067,1,Bose SoundSport Headphones
B,35,1,16,2936,0,0,0,Macbook Pro Laptop
G,35,1,22,2793,1,0.980000019,1,Wired Headphones
D,35,1,28,1032,0,0,0,USB-C Charging Cable
H,35,1,29,1662,0,0,1,Bose SoundSport Headphones
K,40,1,2,4016,2,1.480000049,1,34in Ultrawide Monitor
E,40,1,16,14843,3,2.939999938,1,AA Batteries (4-pack)
K,45,1,10,9674,3,4.600000024,1,34in Ultrawide Monitor
G,45,1,16,12186,2,2.669999957,0,Wired Headphones
R,45,1,20,673,0,0,0,LG Dryer
P,45,1,21,370,0,0,1,Vareebadd Phone
H,45,1,26,450,0,0,1,Bose SoundSport Headphones
S,30,0,10,2077,0,0,1,Lightning Charging Cable
F,30,0,10,31393,8,10.96000051,1,AAA Batteries (4-pack)
R,30,0,15,8410,2,2.359999895,1,LG Dryer
C,30,0,16,25884,5,7.350000143,0,Apple Airpods Headphones
O,30,0,21,608,0,0,1,20in Monitor
G,30,0,22,28488,10,9.340000033,0,Wired Headphones
C,30,0,26,10126,3,4.619999886,0,Apple Airpods Headphones
M,30,0,27,22572,5,8.5,0,Flatscreen TV
D,30,0,27,1955,0,0,1,USB-C Charging Cable
L,30,0,30,493,0,0,0,Google Phone
C,30,0,63,1491,0,0,1,Apple Airpods Headphones
K,30,0,64,1495,0,0,1,34in Ultrawide Monitor
N,35,0,21,512,0,0,0,ThinkPad Laptop
P,35,0,25,4868,2,2.420000076,0,Vareebadd Phone
L,35,0,26,6585,2,2.950000048,0,Google Phone
O,35,0,27,10164,2,3.720000029,1,20in Monitor
I,35,0,29,11182,4,4.449999809,0,27in FHD Monitor
E,35,0,63,1238,0,0,0,AA Batteries (4-pack)
G,40,0,16,34127,8,13.07000017,0,Wired Headphones
K,40,0,16,29466,7,10.84999967,0,34in Ultrawide Monitor
Q,40,0,16,38759,9,10.84999967,0,LG Washing Machine
O,40,0,16,41720,10,12.06000006,1,20in Monitor
K,45,0,15,18602,5,8.860000134,0,34in Ultrawide Monitor
P,45,0,16,83929,21,27.72999954,1,Vareebadd Phone
E,45,0,16,25194,6,7.349999905,0,AA Batteries (4-pack)
P,45,0,16,78627,19,26.53000045,0,Vareebadd Phone
I,45,0,16,102695,25,39.42999983,0,27in FHD Monitor
G,45,0,27,82827,24,47.93000031,0,Wired Headphones
B,45,0,27,9240,3,6.039999962,0,Macbook Pro Laptop
P,45,0,29,7706,2,2.369999886,0,Vareebadd Phone
R,45,0,31,7821,4,6.340000153,1,LG Dryer
G,45,0,64,1363,0,0,1,Wired Headphones
J,45,0,15,3569,0,0,1,27in 4K Gaming Monitor
P,45,0,16,119063,34,53.21999949,0,Vareebadd Phone
A,45,0,16,99078,23,35.79999948,0,iPhone
H,45,0,16,452398,114,180.2200012,0,Bose SoundSport Headphones
O,45,0,10,191223,48,76.41000056,0,20in Monitor
H,45,0,10,22216,6,9.549999952,0,Bose SoundSport Headphones
I,45,0,10,48291,11,18.01999998,0,27in FHD Monitor
C,40,0,63,27559,8,13.37,0,Apple Airpods Headphones
K,45,0,25,10194,4,4.590000033,1,34in Ultrawide Monitor
M,45,0,23,1168,0,0,1,Flatscreen TV
O,45,0,21,40126,16,25.86000001,0,20in Monitor
J,45,0,19,3659,1,0.49000001,1,27in 4K Gaming Monitor
S,30,1,10,3200,0,0,0,Lightning Charging Cable
R,45,0,29,7550,1,1.679999948,1,LG Dryer
P,45,0,28,45397,15,25.41999936,1,Vareebadd Phone
C,30,1,16,23086,2,3.310000062,1,Apple Airpods Headphones
G,30,1,16,16425,1,1.549999952,0,Wired Headphones
J,30,1,16,43756,5,5.439999938,0,27in 4K Gaming Monitor
H,30,1,16,9982,0,0,0,Bose SoundSport Headphones
F,45,0,26,175389,55,81.60999787,0,AAA Batteries (4-pack)
G,30,1,15,7015,0,0,0,Wired Headphones
B,45,0,65,12706,3,4.98999989,1,Macbook Pro Laptop
P,45,0,65,70702,20,31.7099998,0,Vareebadd Phone
E,45,0,63,63927,16,25.52000046,0,AA Batteries (4-pack)
L,45,0,63,15105,3,4.25999999,0,Google Phone
N,30,0,15,8774,1,1.830000043,0,ThinkPad Laptop
R,30,0,16,14459,1,1.389999986,0,LG Dryer
O,30,0,16,21596,2,2.809999943,0,20in Monitor
E,30,0,16,66765,8,11.04999971,0,AA Batteries (4-pack)
P,30,0,7,1369,0,0,1,Vareebadd Phone
A,30,0,10,26910,5,7.229999781,0,iPhone
I,30,0,2,506,0,0,0,27in FHD Monitor
O,45,1,63,11988,3,4.269999862,0,20in Monitor
I,45,1,64,19353,6,9.4799999,1,27in FHD Monitor
C,40,1,29,10960,2,2.890000105,0,Apple Airpods Headphones
C,30,1,15,33491,6,10.56999969,1,Apple Airpods Headphones
J,30,1,15,20083,2,3.200000048,1,27in 4K Gaming Monitor
L,30,1,16,8817,0,0,1,Google Phone
O,30,1,16,15466,1,0.970000029,0,20in Monitor
A,30,1,16,27072,3,4.370000005,0,iPhone
A,30,1,16,15753,1,0.569999993,1,iPhone
C,40,1,19,3523,1,1.809999943,1,Apple Airpods Headphones
R,40,1,16,7745,0,0,0,LG Dryer
F,40,1,16,18709,2,3.319999933,0,AAA Batteries (4-pack)
O,40,1,16,8022,0,0,1,20in Monitor
J,30,1,10,7966,1,1.179999948,1,27in 4K Gaming Monitor
Q,30,1,10,4132,0,0,1,LG Washing Machine
K,30,1,10,12785,3,4.730000019,1,34in Ultrawide Monitor
R,30,1,10,8213,1,1.379999995,1,LG Dryer
C,30,1,2,545,0,0,1,Apple Airpods Headphones
B,40,1,23,2479,1,1.25999999,0,Macbook Pro Laptop
R,40,1,2,3812,2,3.049999952,0,LG Dryer
C,45,1,21,1609,0,0,0,Apple Airpods Headphones
M,45,1,20,10257,3,3.579999924,1,Flatscreen TV
R,40,1,10,12356,4,6.279999971,0,LG Dryer
E,45,1,18,7410,1,1.210000038,0,AA Batteries (4-pack)
L,45,1,16,140098,28,46.63000011,0,Google Phone
F,45,1,16,107021,20,34.44000012,0,AAA Batteries (4-pack)
I,35,1,36,2797,1,1.289999962,0,27in FHD Monitor
B,45,1,7,16461,6,9.21999979,0,Macbook Pro Laptop
K,40,1,63,17488,5,7.719999909,0,34in Ultrawide Monitor
P,35,1,10,9750,2,1.5,1,Vareebadd Phone
E,45,1,36,1136,0,0,1,AA Batteries (4-pack)
L,45,1,63,4333,1,0.180000007,1,Google Phone
O,35,1,16,6260,0,0,0,20in Monitor
J,35,1,16,6359,0,0,0,27in 4K Gaming Monitor
R,30,1,63,2383,0,0,1,LG Dryer
C,40,1,27,11292,3,5.389999866,1,Apple Airpods Headphones
R,30,1,64,12729,4,5.779999852,0,LG Dryer
K,30,1,64,1898,0,0,1,34in Ultrawide Monitor
E,30,1,64,1882,0,0,1,AA Batteries (4-pack)
N,30,1,65,2883,1,0.99000001,1,ThinkPad Laptop
G,30,0,7,3989,1,1.279999971,0,Wired Headphones
B,40,1,29,19603,4,5.279999971,1,Macbook Pro Laptop
G,40,1,24,3047,1,1.379999995,0,Wired Headphones
H,35,1,24,3029,1,1.049999952,1,Bose SoundSport Headphones
C,45,1,26,3490,1,1.340000033,1,Apple Airpods Headphones
L,45,1,28,2479,0,0,0,Google Phone
B,40,1,19,19581,7,10.42999983,0,Macbook Pro Laptop
N,45,1,29,19537,5,6.099999905,0,ThinkPad Laptop
M,45,1,16,59433,12,19.65999949,0,Flatscreen TV
K,45,1,16,157534,33,56.19000077,0,34in Ultrawide Monitor
A,40,1,7,1781,0,0,1,iPhone
O,40,1,16,23769,4,6.029999852,0,20in Monitor
F,40,1,16,7101,0,0,0,AAA Batteries (4-pack)
D,35,1,64,4726,1,1.830000043,1,USB-C Charging Cable
I,30,1,19,5209,1,0.959999979,0,27in FHD Monitor
B,30,1,18,13473,3,2.619999945,0,Macbook Pro Laptop
M,40,1,2,500,0,0,1,Flatscreen TV
I,30,1,20,4616,1,1.360000014,0,27in FHD Monitor
D,30,1,31,3279,0,0,0,USB-C Charging Cable
J,30,1,31,3288,0,0,0,27in 4K Gaming Monitor
M,35,1,27,14615,4,6.050000191,0,Flatscreen TV
A,30,1,27,56615,12,19.88000035,0,iPhone
K,30,1,26,11735,3,4.529999971,1,34in Ultrawide Monitor
J,30,1,26,15910,5,6.779999852,0,27in 4K Gaming Monitor
Q,35,1,29,11446,2,3.090000033,1,LG Washing Machine
B,35,1,29,4595,0,0,0,Macbook Pro Laptop
J,30,1,29,4871,0,0,0,27in 4K Gaming Monitor
B,35,1,28,3199,0,0,0,Macbook Pro Laptop
P,30,1,28,9388,2,3.140000105,0,Vareebadd Phone
J,30,1,28,17954,6,7.5400002,1,27in 4K Gaming Monitor
H,40,0,29,2755,0,0,0,Bose SoundSport Headphones
J,40,0,27,8152,1,0.99000001,0,27in 4K Gaming Monitor
G,40,0,27,74542,19,34.1500001,0,Wired Headphones
Q,40,0,20,6699,2,3.090000033,0,LG Washing Machine
B,40,0,20,11911,4,3.959999919,0,Macbook Pro Laptop
P,40,1,29,10090,2,2.650000095,1,Vareebadd Phone
C,30,1,32,1273,0,0,1,Apple Airpods Headphones
I,40,0,18,24188,5,8.179999828,0,27in FHD Monitor
Q,30,1,31,2214,0,0,0,LG Washing Machine
Q,40,1,32,9735,4,4.130000114,1,LG Washing Machine
M,30,1,30,1371,0,0,1,Flatscreen TV
A,40,0,22,10750,4,5.389999866,0,iPhone
R,30,1,29,7629,1,0.720000029,1,LG Dryer
I,30,1,29,4608,0,0,0,27in FHD Monitor
M,35,1,29,3732,0,0,0,Flatscreen TV
H,30,1,28,7453,1,1.679999948,1,Bose SoundSport Headphones
G,35,0,64,41785,14,19.10000038,0,Wired Headphones
N,35,1,27,8077,2,3.579999924,1,ThinkPad Laptop
R,35,0,63,5602,1,1.580000043,0,LG Dryer
J,30,1,26,6184,2,2.75,1,27in 4K Gaming Monitor
C,30,1,26,1738,0,0,0,Apple Airpods Headphones
H,35,0,27,112460,25,41.29000068,0,Bose SoundSport Headphones
A,40,1,15,4414,0,0,0,iPhone
G,35,0,30,14670,7,9.410000324,0,Wired Headphones
K,30,0,64,33144,9,13.40999985,0,34in Ultrawide Monitor
D,45,1,64,4397,1,0.949999988,0,USB-C Charging Cable
Q,45,1,65,1006,0,0,0,LG Washing Machine
I,35,0,10,89527,24,32.28999996,0,27in FHD Monitor
M,35,0,15,2459,0,0,0,Flatscreen TV
K,35,0,15,7116,2,1.730000019,1,34in Ultrawide Monitor
H,30,0,15,8613,1,0.889999986,0,Bose SoundSport Headphones
H,35,0,16,9730,1,1.379999995,0,Bose SoundSport Headphones
C,30,0,16,51816,8,10.2299999,1,Apple Airpods Headphones
N,30,0,16,27289,3,4.429999828,0,ThinkPad Laptop
R,30,0,29,20409,4,3.829999924,0,LG Dryer
G,30,0,29,8044,1,1.110000014,0,Wired Headphones
C,30,0,28,15645,4,5.349999905,0,Apple Airpods Headphones
F,30,0,31,2466,0,0,2,AAA Batteries (4-pack)
C,45,1,10,11611,3,3.950000048,1,Apple Airpods Headphones
F,45,1,7,9375,3,4.019999981,0,AAA Batteries (4-pack)
I,30,0,32,4402,1,1.330000043,1,27in FHD Monitor
D,30,0,18,8469,2,3.089999914,0,USB-C Charging Cable
Q,30,0,18,5823,1,1.419999957,1,LG Washing Machine
S,35,1,10,2549,0,0,0,Lightning Charging Cable
L,35,1,16,25817,4,6.019999981,0,Google Phone
F,30,0,20,1961,0,0,0,AAA Batteries (4-pack)
D,30,0,22,2554,0,0,0,USB-C Charging Cable
C,30,0,25,4971,1,1.230000019,1,Apple Airpods Headphones
D,35,0,23,1030,0,0,1,USB-C Charging Cable
I,45,0,29,162341,56,77.07999969,0,27in FHD Monitor
A,45,0,29,24542,7,9.329999924,0,iPhone
A,30,0,65,2879,0,0,1,iPhone
J,30,0,64,13621,3,4.090000033,0,27in 4K Gaming Monitor
D,30,0,63,6175,1,1.370000005,1,USB-C Charging Cable
B,30,0,28,2963,0,0,0,Macbook Pro Laptop
A,30,0,29,9076,1,1.379999995,1,iPhone
C,30,0,29,20941,4,5.909999967,1,Apple Airpods Headphones
S,45,0,10,3462,0,0,0,Lightning Charging Cable
S,30,0,26,4073,0,0,1,Lightning Charging Cable
E,30,0,27,3745,0,0,0,AA Batteries (4-pack)
N,30,0,24,830,0,0,0,ThinkPad Laptop
R,45,0,18,2912,0,0,0,LG Dryer
I,45,0,18,17167,5,6.910000086,0,27in FHD Monitor
B,30,0,22,24491,7,9.539999962,0,Macbook Pro Laptop
G,30,0,22,44699,13,17.30000037,0,Wired Headphones
F,30,0,23,6469,2,1.309999943,0,AAA Batteries (4-pack)
H,45,0,16,16053,3,4.079999924,1,Bose SoundSport Headphones
J,45,0,16,54724,12,17.92999995,1,27in 4K Gaming Monitor
D,30,0,21,4706,1,1.220000029,0,USB-C Charging Cable
D,40,0,32,8316,3,4.569999933,1,USB-C Charging Cable
E,40,0,22,5794,2,2.269999981,0,AA Batteries (4-pack)
D,40,0,18,4813,1,1.029999971,0,USB-C Charging Cable
B,40,0,10,85285,26,36.13000035,0,Macbook Pro Laptop
A,40,0,10,5839,1,1.370000005,0,iPhone
I,40,0,15,5859,1,1.539999962,0,27in FHD Monitor
I,40,0,16,164118,41,59.06999993,0,27in FHD Monitor
J,35,0,63,18234,6,7.810000062,0,27in 4K Gaming Monitor
F,35,0,64,2755,0,0,0,AAA Batteries (4-pack)
Q,35,0,27,73676,20,28.5,0,LG Washing Machine
B,35,0,27,18421,7,10.07999992,0,Macbook Pro Laptop
H,35,0,29,164754,49,67.97999978,1,Bose SoundSport Headphones
G,35,0,10,7449,1,1.639999986,1,Wired Headphones
S,35,0,10,6424,1,0.529999971,0,Lightning Charging Cable
C,30,1,63,2086,0,0,0,Apple Airpods Headphones
D,35,1,16,6016,0,0,0,USB-C Charging Cable
B,35,1,15,6412,1,1.370000005,0,Macbook Pro Laptop
C,30,0,63,5040,1,1.440000057,0,Apple Airpods Headphones
Q,30,0,32,1772,0,0,0,LG Washing Machine
I,30,0,32,1783,0,0,0,27in FHD Monitor
G,35,1,20,8200,3,3.919999957,0,Wired Headphones
N,45,0,26,115896,38,49.44000006,0,ThinkPad Laptop
K,35,0,16,10186,1,1.230000019,1,34in Ultrawide Monitor
I,30,1,20,9134,3,4.180000067,0,27in FHD Monitor
A,30,1,20,3385,1,1.440000057,1,iPhone
S,45,0,21,1314,0,0,0,Lightning Charging Cable
D,30,1,18,2916,0,0,1,USB-C Charging Cable
R,30,1,18,6142,1,1.330000043,0,LG Dryer
R,30,0,20,1984,0,0,0,LG Dryer
O,30,1,24,9142,3,3.749999881,0,20in Monitor
O,30,1,24,5475,2,2.730000019,1,20in Monitor
N,30,0,18,8254,2,2.320000052,1,ThinkPad Laptop
Q,30,0,18,5704,1,1.320000052,0,LG Washing Machine
C,30,0,16,7301,0,0,0,Apple Airpods Headphones
L,30,0,16,37873,5,6.169999957,1,Google Phone
F,30,0,16,25267,4,4.940000057,1,AAA Batteries (4-pack)
F,30,0,30,535,0,0,0,AAA Batteries (4-pack)
G,30,1,29,3396,0,0,0,Wired Headphones
G,30,1,26,977,0,0,0,Wired Headphones
D,40,0,63,12318,5,6.340000153,1,USB-C Charging Cable
G,30,0,28,4783,1,0.860000014,0,Wired Headphones
A,30,0,29,6475,1,1.350000024,0,iPhone
F,45,0,16,104578,29,39.25000095,1,AAA Batteries (4-pack)
B,45,0,10,33664,11,12.51000035,0,Macbook Pro Laptop
F,40,0,20,979,0,0,0,AAA Batteries (4-pack)
S,40,0,28,7337,3,4.079999924,0,Lightning Charging Cable
J,30,1,10,2499,0,0,0,27in 4K Gaming Monitor
B,40,0,27,11244,3,4.550000191,0,Macbook Pro Laptop
O,30,1,15,4827,0,0,0,20in Monitor
Q,35,0,29,29035,7,8.910000086,2,LG Washing Machine
R,35,0,30,761,0,0,0,LG Dryer
A,35,0,26,6532,1,1.610000014,0,iPhone
L,40,0,10,11537,3,4.300000191,0,Google Phone
H,40,0,10,12183,3,2.869999945,0,Bose SoundSport Headphones
F,35,0,64,5912,1,1.559999943,1,AAA Batteries (4-pack)
K,30,1,10,4012,1,1.570000052,0,34in Ultrawide Monitor
S,30,1,16,12396,2,3.210000038,1,Lightning Charging Cable
O,30,1,16,3142,0,0,2,20in Monitor
H,30,1,18,1120,0,0,0,Bose SoundSport Headphones
K,30,1,20,343,0,0,1,34in Ultrawide Monitor
I,30,1,15,1720,0,0,1,27in FHD Monitor
J,30,1,16,3423,0,0,1,27in 4K Gaming Monitor
N,30,1,16,3242,0,0,0,ThinkPad Laptop
J,30,1,16,15720,1,1.379999995,0,27in 4K Gaming Monitor
J,30,1,10,1217,0,0,1,27in 4K Gaming Monitor
D,40,1,20,2367,2,2.839999914,1,USB-C Charging Cable
R,35,1,16,6607,1,1.320000052,0,LG Dryer
K,30,1,64,616,0,0,0,34in Ultrawide Monitor
M,45,1,16,5537,1,1.519999981,0,Flatscreen TV
G,45,1,15,818,0,0,0,Wired Headphones
N,45,1,21,1909,1,0.980000019,0,ThinkPad Laptop
E,30,1,21,351,0,0,0,AA Batteries (4-pack)
D,45,1,22,572,0,0,0,USB-C Charging Cable
O,40,1,36,1884,1,1.409999967,0,20in Monitor
L,30,1,30,219,0,0,0,Google Phone
E,30,1,32,540,0,0,1,AA Batteries (4-pack)
I,30,1,32,550,0,0,0,27in FHD Monitor
N,30,1,26,465,0,0,0,ThinkPad Laptop
E,30,1,29,1761,0,0,1,AA Batteries (4-pack)
G,30,1,65,152,0,0,1,Wired Headphones
R,30,1,65,152,0,0,1,LG Dryer
R,30,1,64,429,0,0,0,LG Dryer
K,30,1,29,1514,0,0,2,34in Ultrawide Monitor
J,30,1,28,7780,3,4.329999924,2,27in 4K Gaming Monitor
Q,35,1,28,460,0,0,0,LG Washing Machine
Q,35,1,28,471,0,0,0,LG Washing Machine
L,35,1,28,2633,1,1.070000052,0,Google Phone
H,30,1,27,199,0,0,0,Bose SoundSport Headphones
D,35,1,32,398,0,0,0,USB-C Charging Cable
M,30,1,24,246,0,0,2,Flatscreen TV
R,40,1,10,2967,1,1.5,1,LG Dryer
J,45,1,36,255,0,0,0,27in 4K Gaming Monitor
S,30,0,7,457,0,0,1,Lightning Charging Cable
